,trial_id,state,value,datetime_start,datetime_complete,params,params
,,,,,,x,y
66,66,TrialState.COMPLETE,3.8857010240883754,2018-12-15 23:17:17.368512,2018-12-15 23:17:17.379720,1.5332074889797318,4.915151632572149
67,67,TrialState.COMPLETE,1.131303264179506,2018-12-15 23:17:17.388518,2018-12-15 23:17:17.397869,3.0636217537535595,3.0034683024245874
68,68,TrialState.COMPLETE,1.5467276215222472,2018-12-15 23:17:17.408289,2018-12-15 23:17:17.418516,2.566157269513154,4.107336248706623
69,69,TrialState.COMPLETE,2.1349583906300134,2018-12-15 23:17:17.427189,2018-12-15 23:17:17.436724,1.0661145114632655,1.8762490111548207
70,70,TrialState.COMPLETE,1.982898431312937,2018-12-15 23:17:17.445747,2018-12-15 23:17:17.456800,0.65544478319183,3.418413312726629
71,71,TrialState.COMPLETE,4.542486300017671,2018-12-15 23:17:17.463900,2018-12-15 23:17:17.472312,1.2625756092081342,4.9996728652164375
72,72,TrialState.COMPLETE,7.429148116810052,2018-12-15 23:17:17.480143,2018-12-15 23:17:17.491997,4.234992988433002,1.4398863956540313
73,73,TrialState.COMPLETE,8.092694199633407,2018-12-15 23:17:17.501931,2018-12-15 23:17:17.509331,3.665336429759525,0.6936286562330851
74,74,TrialState.COMPLETE,13.719471165372934,2018-12-15 23:17:17.519612,2018-12-15 23:17:17.529205,-1.5922986776401276,3.902696724264537
75,75,TrialState.COMPLETE,2.9774496641212638,2018-12-15 23:17:17.536342,2018-12-15 23:17:17.547331,0.28889462876666444,2.7773611160248666
76,76,TrialState.COMPLETE,8.987572949563447,2018-12-15 23:17:17.555432,2018-12-15 23:17:17.568334,-0.44449894134717427,1.2644891601272004
77,77,TrialState.COMPLETE,0.748552307944677,2018-12-15 23:17:17.574851,2018-12-15 23:17:17.585865,1.8982249147518022,2.1408177492712044
78,78,TrialState.COMPLETE,0.7181369904743462,2018-12-15 23:17:17.592994,2018-12-15 23:17:17.607154,2.6524803614052104,2.459253878002928
79,79,TrialState.COMPLETE,9.682680043887016,2018-12-15 23:17:17.615329,2018-12-15 23:17:17.622670,3.221632578051615,0.13813104979805546
80,80,TrialState.COMPLETE,1.6759751013590243,2018-12-15 23:17:17.635179,2018-12-15 23:17:17.642671,2.2120565251021618,1.7228911042825594
81,81,TrialState.COMPLETE,8.431616398632055,2018-12-15 23:17:17.651566,2018-12-15 23:17:17.661413,4.507062621475608,4.465009696429313
82,82,TrialState.COMPLETE,1.501283916521841,2018-12-15 23:17:17.672121,2018-12-15 23:17:17.685955,0.7774190905437353,3.081116190461175
83,83,TrialState.COMPLETE,16.7361737011445,2018-12-15 23:17:17.693095,2018-12-15 23:17:17.706011,-0.20939907509391364,-0.4430697681166236
84,84,TrialState.COMPLETE,0.22926898517175254,2018-12-15 23:17:17.716351,2018-12-15 23:17:17.725819,1.7209306955355363,3.3890877901932583
85,85,TrialState.COMPLETE,17.535537051979762,2018-12-15 23:17:17.738033,2018-12-15 23:17:17.753432,1.7096641042158338,-1.1774683864272353
86,86,TrialState.COMPLETE,3.0554792246550724,2018-12-15 23:17:17.765071,2018-12-15 23:17:17.778514,3.6914317695884975,3.4410643870023923
87,87,TrialState.COMPLETE,13.236174003934625,2018-12-15 23:17:17.787004,2018-12-15 23:17:17.801193,-0.9874601408700046,0.9236435973928763
88,88,TrialState.COMPLETE,1.7986297214319125,2018-12-15 23:17:17.810188,2018-12-15 23:17:17.828635,2.8365970916961114,4.048205622765648
89,89,TrialState.COMPLETE,3.7845390234095206,2018-12-15 23:17:17.840266,2018-12-15 23:17:17.854109,0.08813247308414374,2.640414707010745
90,90,TrialState.COMPLETE,1.8557563951648333,2018-12-15 23:17:17.863375,2018-12-15 23:17:17.876558,2.397453780906065,4.302991514634039
91,91,TrialState.COMPLETE,23.374946365771606,2018-12-15 23:17:17.885904,2018-12-15 23:17:17.899945,-2.4947664220521273,4.781016894070444
92,92,TrialState.COMPLETE,2.635571896682476,2018-12-15 23:17:17.907616,2018-12-15 23:17:17.918427,0.4678995684414631,3.536880027846651
93,93,TrialState.COMPLETE,8.10068002175148,2018-12-15 23:17:17.927336,2018-12-15 23:17:17.941419,3.3545021967066493,0.49680128218546327
94,94,TrialState.COMPLETE,0.8526156632457189,2018-12-15 23:17:17.952074,2018-12-15 23:17:17.964973,1.4815387428458489,2.23592304832834
95,95,TrialState.COMPLETE,7.700068515628641,2018-12-15 23:17:17.979311,2018-12-15 23:17:17.992600,4.758868188474312,3.2978503554691656
96,96,TrialState.COMPLETE,6.8464294738460625,2018-12-15 23:17:18.002518,2018-12-15 23:17:18.012810,-0.6127926913034697,2.8594872741804744
97,97,TrialState.COMPLETE,10.063883550337671,2018-12-15 23:17:18.020474,2018-12-15 23:17:18.032072,-1.0860490538625118,3.734972644043278
98,98,TrialState.COMPLETE,34.948436393652344,2018-12-15 23:17:18.046154,2018-12-15 23:17:18.062060,4.162909813022127,-2.5018412858228594
99,99,TrialState.COMPLETE,1.0228411112980051,2018-12-15 23:17:18.072312,2018-12-15 23:17:18.086549,1.137911314401022,2.471186035112317
